date,cases,deaths
2020-03-09,114230,4005
2020-03-10,118905,4269
2020-03-11,126061,4616
2020-03-12,134540,4971
2020-03-13,145341,5416
2020-03-14,156433,5821
2020-03-15,169362,6501
2020-03-16,182412,7157
2020-03-17,198178,7965
2020-03-18,208457,8279
2020-03-19,244914,10031
2020-03-20,275132,11376
2020-03-21,304999,13003
2020-03-22,336068,14613
2020-03-23,378492,16495
2020-03-24,421030,18802
2020-03-25,468298,21180
2020-03-26,529614,23976
2020-03-27,594344,27251
2020-03-28,662541,30839
2020-03-29,721293,33944
2020-03-30,783995,37777
2020-03-31,856891,42097
2020-04-01,934825,47189
2020-04-02,1014296,52982
2020-04-03,1097810,59140
2020-04-04,2399422,129334
2020-04-05,2543998,138810
2020-04-06,2687116,149252
2020-04-07,2851606,163944
2020-04-08,3019356,176668
2020-04-09,4803185,286877
2020-04-10,5091314,307979
2020-04-11,5332961,326213
2020-04-12,5554013,342512
2020-04-13,5769119,358748
2020-04-14,5986616,379582
2020-04-15,6233327,403135
2020-04-16,6539288,436237
2020-04-17,6743366,462309
2020-04-18,6986186,481503
2020-04-19,7213877,494760
2020-04-20,7437308,511017
2020-04-21,7660409,532038
2020-04-22,7899176,551775
2020-04-23,8144264,571176
2020-04-24,8479298,590901
2020-04-25,8751338,609318
2020-04-26,8977829,620679
2020-04-27,9176522,633591
2020-04-28,9407435,653337
2020-04-29,9649703,683703
2020-04-30,9910829,701424
2020-05-01,10193495,718182
2020-05-02,10437842,733728
2020-05-03,10686251,744273
2020-05-04,10922891,755826
2020-05-05,11169941,773901
2020-05-06,11443058,792741
2020-05-07,11736554,811041
2020-05-08,12028763,827787
2020-05-09,12293147,840642
2020-05-10,12531128,851082
2020-05-11,12751865,860943
2020-05-12,13009964,877092
2020-05-13,13273796,893139
2020-05-14,13560971,909168
2020-05-15,4594501,306428
2020-05-16,4668493,309829
2020-05-17,4742487,313247
2020-05-18,4816479,316648
2020-05-19,4982762,324525
2020-05-20,5080129,329181
2020-05-21,5188714,334058
2020-05-22,5297914,339413
2020-05-23,5397778,343596
2020-05-24,5492611,346416
2020-05-25,5582370,347563
2020-05-26,5677003,351601
2020-05-27,5781637,356826
2020-05-28,5900527,361764
2020-05-29,6026091,366415
2020-05-30,6149759,370497
2020-05-31,6259224,373691
2020-06-01,6361360,377148
2020-06-02,6473097,381706
2020-06-03,6561235,386731
2020-06-04,6688814,392123
2020-06-05,6826356,397415
2020-06-06,6966413,401606
2020-06-07,7081593,405074
2020-06-08,7188955,408230
2020-06-09,7311549,413001
2020-06-10,7444538,418123
2020-06-11,7583521,423082
2020-06-12,7724615,427676
2020-06-13,7855028,431726
2020-06-14,7982366,435166
2020-06-15,8107814,438581
2020-06-16,8251062,445185
2020-06-17,8391460,450436
2020-06-18,8566778,455503
2020-06-19,8746268,461774
2020-06-20,8905939,466250
2020-06-21,9037950,469603
2020-06-22,9179917,473459
2020-06-23,9342471,478918
2020-06-24,9516078,483905
2020-06-25,9695370,489056
2020-06-26,9896947,496045
2020-06-27,10073812,500608
2020-06-28,10235353,504060
