region,cases,deaths,recovered
USA,105392498,1146723,102846371
India,44687496,530775,44154035
France,39634146,165030,39397284
Germany,38210850,168397,37746700
Brazil,37076053,699276,36249161
Japan,33241066,72640,21689308
S. Korea,30543981,34014,30335730
Italy,25603510,188322,25267118
UK,24370154,206952,24099465
Russia,22314520,396216,21656858
Turkey,17042722,101492,N/A
Spain,13770429,119479,13615878
Vietnam,11526950,43186,10614788
Australia,11385534,19459,11332576
Taiwan,10083351,18072,9773827
Argentina,10044125,130463,9909866
Netherlands,8598182,22992,8559864
Iran,7569483,144867,7339572
Mexico,7459860,333038,6696871
Indonesia,6736787,160925,6572332
Poland,6428783,118941,5335940
Colombia,6360089,142629,6183658
Austria,5931247,21907,5848610
Greece,5871458,36185,5811707
Portugal,5568084,26180,5538074
Ukraine,5389439,111235,5265577
Chile,5174951,64210,5101501
Malaysia,5043456,36965,4997244
Israel,4800913,12303,4781252
DPRK,4772813,74,4772739
Thailand,4728035,33911,4692636
Belgium,4727795,33775,4661070
Czechia,4612903,42457,4560289
Canada,4591149,51249,4505125
Peru,4486453,219478,4265053
Switzerland,4391007,14452,4373026
Philippines,4076704,66133,4001216
South Africa,4064889,102595,3912506
Romania,3340342,67704,3263301
Denmark,3175405,8274,3166219
Hong Kong,2883613,13461,2853547
Sweden,2698535,23703,2671383
Serbia,2495185,17844,2462644
Iraq,2465545,25375,2439497
Singapore,2230570,1722,2149583
New Zealand,2216852,3904,2205354
Hungary,2195926,48751,2143184
Bangladesh,2037829,29445,1998448
Slovakia,1863238,21029,1840996
Georgia,1825598,16965,1776548
Jordan,1746997,14122,1731007
Ireland,1703850,8691,1692612
Pakistan,1577119,30643,1538689
Norway,1479208,5213,1473276
Finland,1462976,8936,1452070
Kazakhstan,1408124,13846,1383020
Slovenia,1329386,7073,1318085
Lithuania,1305902,9590,1290366
Bulgaria,1297006,38219,1255859
Morocco,1272477,16296,1256119
Croatia,1268992,17971,1250549
Guatemala,1237335,20177,1216061
Lebanon,1232301,10835,1087587
Costa Rica,1204164,9230,860711
Bolivia,1193650,22365,1158540
Tunisia,1150962,29331,N/A
Cuba,1112613,8530,1103992
Ecuador,1057121,36014,1020564
UAE,1052382,2349,1035424
Uruguay,1034303,7617,1026186
Panama,1031273,8604,1022299
Mongolia,1007897,2179,1005716
Nepal,1001149,12020,989121
Belarus,994037,7118,985592
Latvia,976095,6244,969510
Saudi Arabia,829624,9617,816815
Azerbaijan,828648,10126,818351
Paraguay,808401,19878,N/A
Bahrain,708532,1552,706013
Sri Lanka,672032,16830,655201
Kuwait,663456,2570,660237
Dominican Republic,660705,4384,644785
Cyprus,650685,1330,644185
Myanmar,633935,19490,614402
Palestine,621008,5404,615445
Estonia,615119,2940,524990
Moldova,607450,11988,504142
Venezuela,552014,5854,545891
Egypt,515698,24613,442182
Libya,507174,6437,500734
Ethiopia,500031,7572,487287
Qatar,494377,686,493225
Réunion,486588,921,418572
Honduras,472219,11111,N/A
Armenia,446819,8721,435162
Bosnia and Herzegovina,401636,16279,379084
Oman,399449,4628,384669
North Macedonia,346852,9662,337068
Zambia,343079,4057,338734
Kenya,342919,5688,337216
Albania,334427,3597,329169
Botswana,329727,2801,326868
Luxembourg,297757,1133,288991
Montenegro,288490,2805,285034
Brunei,278698,225,243601
Algeria,271469,6881,182799
Nigeria,266598,3155,259917
Zimbabwe,264127,5668,257839
Uzbekistan,251071,1637,241486
Mozambique,233098,2242,228805
Martinique,229807,1098,N/A
Laos,218019,758,N/A
Afghanistan,209362,7896,191170
Iceland,209093,229,N/A
Kyrgyzstan,206673,2991,196406
Guadeloupe,201852,1010,N/A
El Salvador,201785,4230,179410
Trinidad and Tobago,189296,4347,184553
Maldives,185732,311,163687
Ghana,171172,1462,169697
Namibia,171156,4090,166776
Uganda,170504,3630,100431
Jamaica,154196,3502,102393
Cambodia,138719,3056,135657
Rwanda,133180,1468,131634
Cameroon,124392,1965,122344
Malta,117477,827,116028
Barbados,106645,575,106057
Angola,105277,1933,103317
Channel Islands,101382,227,101029
French Guiana,98041,420,11254
DRC,95749,1464,84321
Senegal,88921,1971,86947
Malawi,88702,2686,85580
Ivory Coast,88231,834,87363
Suriname,82467,1404,N/A
New Caledonia,79881,314,79558
French Polynesia,77957,649,N/A
Eswatini,74199,1423,72726
Guyana,73075,1298,71756
Belize,70757,688,70056
Fiji,68897,883,66860
Madagascar,67865,1422,66433
Sudan,63809,5013,58460
Mauritania,63668,997,62441
Cabo Verde,63244,413,62773
Bhutan,62620,21,61564
Syria,57467,3164,54303
Burundi,53631,38,53569
Seychelles,50665,172,50440
Gabon,48981,306,48674
Andorra,47875,165,47563
Papua New Guinea,46809,670,43982
Curaçao,45986,295,44720
Aruba,44044,236,42438
Tanzania,42846,846,N/A
Mayotte,42004,188,N/A
Mauritius,41752,1043,40030
Togo,39382,290,39078
Guinea,38267,467,37757
Isle of Man,38008,116,N/A
Bahamas,37491,833,36366
Lesotho,34790,723,25980
Faeroe Islands,34658,28,N/A
Haiti,34143,860,33044
Mali,33051,743,32145
Cayman Islands,31472,37,8553
Saint Lucia,30004,409,29095
Benin,27990,163,27825
Somalia,27324,1361,13182
Congo,25375,386,24006
Solomon Islands,24575,153,N/A
Micronesia,23948,61,N/A
San Marino,23583,122,23276
Timor-Leste,23418,138,23102
Burkina Faso,22056,396,21596
Liechtenstein,21426,89,21300
Gibraltar,20433,111,16579
Grenada,19680,238,19358
Bermuda,18814,160,18638
Nicaragua,18491,225,4225
South Sudan,18368,138,18115
Tajikistan,17786,125,17264
Equatorial Guinea,17229,183,16907
Tonga,16807,13,15638
Samoa,16607,29,1605
Monaco,16115,67,15992
Dominica,15760,74,15673
Djibouti,15690,189,15427
Marshall Islands,15618,17,15528
CAR,15368,113,15200
Gambia,12586,372,12189
Saint Martin,12257,63,1399
Vanuatu,12014,14,11976
Greenland,11971,21,2761
Yemen,11945,2159,9124
Caribbean Netherlands,11676,38,10476
Sint Maarten,11020,91,10905
Eritrea,10189,103,10086
Niger,9931,312,8890
St. Vincent Grenadines,9589,123,9466
Antigua and Barbuda,9106,146,8954
Comoros,9001,161,8838
Guinea-Bissau,8960,176,8660
Liberia,8090,295,7783
Sierra Leone,7760,126,N/A
Chad,7678,194,4874
British Virgin Islands,7305,64,N/A
Cook Islands,7030,2,7027
Saint Kitts and Nevis,6597,47,6548
Turks and Caicos,6551,38,6491
Sao Tome and Principe,6281,77,6204
Palau,5989,9,5976
St. Barth,5439,6,N/A
Nauru,5247,1,5075
Kiribati,5013,18,2703
Anguilla,3904,12,3879
Macao,3514,121,3391
Saint Pierre Miquelon,3452,2,2449
Wallis and Futuna,3427,7,438
Tuvalu,2805,NA,NA
Saint Helena,2166,NA,2
Falkland Islands,1930,NA,1930
Montserrat,1403,8,1376
Niue,790,NA,784
Diamond Princess,712,13,699
Vatican City,29,NA,29
Western Sahara,10,1,9
MS Zaandam,9,2,7
Tokelau,5,NA,NA
China,503302,5272,379053
Total:,124712309,1612522,119998088
Total:,214439772,1537147,199069641
Total:,246530400,2019265,242073552
Total:,68042673,1350906,66293428
Total:,14015805,26203,13852354
Total:,12796326,258590,12076332
Total:,721,15,706
Total:,680538006,6804648,653364101
